Name,Mileage,Dealer Name,Rating,Review Count,Price
2019 Cadillac XT5 Luxury,"39,235 mi.",Romain Cross Pointe Auto Park,4.6,242 ,"$32,419"
2021 Honda Ridgeline RTL,"20,799 mi.",Ron Bouchard Honda,4.9,429 ,"$38,990"
2022 GMC Sierra 1500 Elevation,"6,502 mi.",Kayser Chevrolet Buick,4.3,7 ,"$65,000"
2021 Jeep Wrangler Sport,"16,519 mi.",Westgate Chrysler Dodge Jeep RAM of Burgaw,n/a,1 ,"$39,977"
2020 INFINITI Q60 3.0t LUXE,"27,052 mi.",INFINITI of San Antonio,4.8,556 ,"$35,085"
2022 Toyota Avalon XLE,"1,804 mi.",Findlay Toyota,4.6,915 ,"$39,988"
2022 Toyota Highlander XLE,"17,497 mi.",Findlay Toyota,4.6,915 ,"$40,988"
2018 Porsche Panamera Sport Turismo 4,"33,294 mi.",Porsche Stratham,n/a,10 ,"$69,987"
2016 Porsche Panamera 4,"45,220 mi.",Porsche Towson,4.8,170 ,"$46,323"
2017 Honda Odyssey Touring Elite,"47,423 mi.",Ide Honda,4.9,"1,801 ","$36,690"
2022 Jeep Grand Wagoneer Series II,"8,511 mi.",Platinum Chrysler Dodge Ram Jeep,4.3,546 ,"$92,000"
2022 BMW 430 Gran Coupe i,"14,761 mi.",BMW of San Francisco,1.7,199 ,"$46,991"
2017 Toyota 4Runner SR5,"83,682 mi.",Rhinelander Auto Center,4.2,79 ,"$31,990"
2021 Kia K5 GT-Line,"13,350 mi.",Generation Kia,4.5,"1,033 ","$32,866"
2022 INFINITI QX50 Luxe,"3,418 mi.",INFINITI Of Omaha,4.6,162 ,"$40,820"
2018 Chevrolet Cruze LT,"60,135 mi.",La Quinta Chevrolet,4.0,459 ,"$16,488"
2016 Nissan Altima 2.5 SL,"41,057 mi.",United Nissan Reno,3.3,59 ,"$19,000"
2022 Kia Seltos SX,"23,960 mi.",Van Griffith Kia,4.9,318 ,"$32,999"
2021 BMW 330 i,"40,121 mi.",BMW of Gainesville,4.8,441 ,"$29,428"
2020 INFINITI QX60 Luxe,"25,975 mi.",INFINITI Milwaukee,4.9,62 ,"$35,600"
2020 GMC Yukon Denali,"43,985 mi.",Jim Trenary Chevrolet Buick GMC,2.7,63 ,"$59,888"
2016 Porsche 911 Black Edition,"25,223 mi.",D-Patrick Motoplex,4.7,372 ,"$81,495"
2022 Volvo XC60 B5 Inscription,"7,587 mi.",Younger Toyota,4.5,"2,023 ","$49,493"
2018 Volvo V90 Cross Country T6,"15,632 mi.",Astorg Auto of Charleston,4.8,597 ,"$44,995"
2021 BMW 530 i xDrive,"15,788 mi.",The BMW Store Cincinnati,4.9,"1,501 ","$56,538"
2019 Kia Niro EV EX Premium,"15,092 mi.",Wagner Kia of Shrewsbury,4.0,152 ,"$37,500"
2021 INFINITI QX80 SENSORY,"19,500 mi.",INFINITI Of Omaha,4.6,162 ,"$68,052"
2020 BMW 440 Gran Coupe i,"17,076 mi.",Nalley BMW,4.0,631 ,"$43,900"
2020 Honda Passport EX-L,"18,102 mi.",Honda North,4.3,"1,924 ","$34,593"
2019 Cadillac Escalade Luxury,"38,481 mi.",Bergstrom GM of Neenah,4.6,214 ,"$47,919"
2022 Acura RDX A-Spec Advance Package,"6,250 mi.",Nalley Acura,4.8,478 ,"$49,991"
2020 INFINITI QX60 Luxe,"25,975 mi.",INFINITI Milwaukee,4.9,62 ,"$35,600"
2016 Nissan Altima 2.5 SL,"41,057 mi.",United Nissan Reno,3.3,59 ,"$19,000"
2022 Kia Seltos SX,"23,960 mi.",Van Griffith Kia,4.9,318 ,"$32,999"
2018 Chevrolet Cruze LT,"60,135 mi.",La Quinta Chevrolet,4.0,459 ,"$16,488"
2022 Volvo XC60 B5 Inscription,"7,587 mi.",Younger Toyota,4.5,"2,023 ","$49,493"
2018 Volvo V90 Cross Country T6,"15,632 mi.",Astorg Auto of Charleston,4.8,597 ,"$44,995"
2016 Porsche 911 Black Edition,"25,223 mi.",D-Patrick Motoplex,4.7,372 ,"$81,495"
2021 Honda Civic LX,"35,560 mi.",Vern Eide Hyundai Sioux City,4.9,67 ,"$25,522"
2020 GMC Canyon Denali,"8,884 mi.",Vaughn Automotive,2.7,131 ,"$40,999"
2021 Acura RDX Technology Package,"13,577 mi.",Niello Acura,2.0,134 ,"$43,588"
2020 BMW 430 i xDrive,"20,235 mi.",Kelly BMW,3.7,125 ,"$38,900"
2019 Volvo XC90 Hybrid T8 Inscription,"29,865 mi.",San Francisco Audi Volkswagen Volvo Cars,n/a,75 ,"$58,000"
2020 Volvo XC60 Hybrid T8 Momentum,"34,060 mi.",Volvo Cars Mall of Georgia,4.9,"2,210 ","$46,900"
2017 Chrysler Pacifica Hybrid Platinum,"16,154 mi.","Bill Bryan Chrysler, Dodge, Jeep, RAM",4.0,"1,525 ","$35,995"
2022 Kia Carnival LXS,"26,146 mi.",Kia Of Mccomb,n/a,16 ,"$39,998"
2021 Volkswagen Jetta GLI 2.0T Autobahn,"8,099 mi.",Volkswagen of St. Augustine,4.5,221 ,"$31,688"
2020 Porsche Cayenne Turbo Coupe AWD,"25,658 mi.",Foreign Cars Italia,4.9,"1,273 ","$132,992"
2022 Volvo V60 Cross Country T5,"18,191 mi.",Volvo Cars Danbury,4.3,246 ,"$43,499"
2022 Nissan Altima 2.0 SR,"4,185 mi.",Fred Martin Nissan LLC,4.8,"2,213 ","$31,363"
2020 BMW 430 i xDrive,"20,235 mi.",Kelly BMW,3.7,125 ,"$38,900"
2020 Volvo XC60 Hybrid T8 Momentum,"34,060 mi.",Volvo Cars Mall of Georgia,4.9,"2,210 ","$46,900"
2022 Kia Carnival LXS,"26,146 mi.",Kia Of Mccomb,n/a,16 ,"$39,998"
2020 Kia Niro Touring,"19,786 mi.",Gettel Kia of Bradenton,4.7,790 ,"$26,500"
2021 Nissan Leaf SV,"16,041 mi.",Wood Nissan of Kansas City,4.7,140 ,"$30,746"
2021 Toyota Camry Hybrid XSE,"15,259 mi.",Sun Toyota,4.8,"8,622 ","$35,191"
2019 Nissan Sentra SV,"66,429 mi.",Honda of Ames,4.5,"1,539 ","$16,999"
2020 Maserati Ghibli S Q4,"11,322 mi.",Maserati Alfa Romeo of Wilmington Pike,3.4,89 ,"$52,995"
2021 Chevrolet Traverse LT Cloth,"28,430 mi.",Willis Chevrolet of Granger,n/a,3 ,"$37,699"
2023 Subaru Crosstrek Limited,209 mi.,Fitzgerald Subaru of Gaithersburg,4.1,119 ,"$33,388"
2022 MINI Countryman Cooper S,"4,852 mi.",Braman Motors Miami,4.6,"2,697 ","$34,870"
2020 Nissan Rogue Sport SV,"36,988 mi.",Sutherlin Nissan of Fort Pierce,4.4,"1,408 ","$21,490"
2021 Nissan Rogue S,"30,101 mi.",Bravo Nissan Victoria,4.4,106 ,"$25,322"
2020 Cadillac CT5 Sport AWD,"3,199 mi.",Sapaugh GM Country,4.8,"1,862 ","$46,994"
2022 Volvo C40 Recharge Pure Electric P8 Ultimate,"2,793 mi.",Rickenbaugh Cadillac Volvo Cars,4.6,"2,659 ","$59,000"
2020 Cadillac CT4 Premium Luxury,"9,862 mi.",Ed Morse Delray Cadillac,4.9,"2,261 ","$34,995"
2018 Toyota Sequoia SR5,"33,609 mi.",Jimmy Vasser Toyota of Napa,4.4,320 ,"$44,990"
2021 Toyota C-HR XLE,"13,502 mi.",Checkered Flag Toyota,4.4,"2,570 ","$24,995"
2020 Nissan Sentra SV,"27,535 mi.",Jack Ingram Motors,n/a,57 ,"$24,500"
2020 Chevrolet Express 3500 LT,"52,681 mi.",Courtesy Chevrolet,4.9,"4,971 ","$38,000"
2020 Honda Passport EX-L,"16,580 mi.",Dover Honda,4.8,"1,183 ","$33,487"
2020 Nissan Sentra SV,"27,535 mi.",Jack Ingram Motors,n/a,57 ,"$24,500"
2020 Cadillac XT5 Luxury,"34,086 mi.",Serra Cadillac of Traverse City,4.4,9 ,"$33,244"
2018 Toyota Sequoia SR5,"33,609 mi.",Jimmy Vasser Toyota of Napa,4.4,320 ,"$44,990"
2022 Volvo C40 Recharge Pure Electric P8 Ultimate,"2,793 mi.",Rickenbaugh Cadillac Volvo Cars,4.6,"2,659 ","$59,000"
2020 Cadillac CT4 Premium Luxury,"9,862 mi.",Ed Morse Delray Cadillac,4.9,"2,261 ","$34,995"
2020 Volkswagen Arteon 2.0T SEL R-Line,"19,259 mi.",Cochran Volkswagen North Hills,4.4,187 ,"$34,000"
2020 Cadillac XT5 Luxury,"39,571 mi.",Heritage Cadillac Mitsubishi,3.9,"1,039 ","$32,998"
2019 GMC Canyon Denali,"42,634 mi.",Alpena Buick GMC,n/a,55 ,"$34,637"
2017 Toyota Land Cruiser V8,"44,686 mi.",AutoNation Toyota Tempe,4.5,"2,919 ","$69,409"
2019 Maserati Ghibli 4DR SDN 3.0L,"22,455 mi.",Foreign Cars Charlotte,5.0,562 ,"$48,500"
2020 Buick Encore GX Select,"22,868 mi.",AutoNation Buick GMC West Sahara,4.5,492 ,"$23,998"
2019 INFINITI Q70L 3.7 LUXE,"19,539 mi.",INFINITI of Marin,4.1,37 ,"$38,990"
2022 Volvo XC90 T6 Inscription 6 Passenger,"1,120 mi.",Friendship Hyundai of Bristol,2.5,168 ,"$62,831"
2019 Chevrolet Silverado 2500 LTZ,"15,505 mi.",Dennis Dillon GMC & Fiat,3.9,230 ,"$62,998"
2021 GMC Sierra 2500 Denali,"33,683 mi.",Cavender Buick GMC North,4.3,142 ,"$74,500"
2023 Buick Enclave Avenir,"1,456 mi.",Beck & Masten North,4.1,"1,269 ","$59,995"
2022 BMW X3 M AWD,"3,897 mi.",BMW of Palm Springs,4.8,600 ,"$72,988"
2022 Ford Expedition Limited,"10,020 mi.",Mullinax Ford of Mobile,4.8,"1,192 ","$64,790"
2019 GMC Canyon Denali,"49,156 mi.",Palm Chevrolet,3.6,"1,001 ","$36,585"
2020 Porsche Taycan 4S,"2,937 mi.",Porsche Bend,5.0,28 ,"$123,557"
2021 Acura RDX Technology Package,"18,188 mi.",Serra Auto Park,3.3,147 ,"$39,977"
2022 BMW X3 M AWD,"3,897 mi.",BMW of Palm Springs,4.8,600 ,"$72,988"
2023 Buick Enclave Avenir,"1,456 mi.",Beck & Masten North,4.1,"1,269 ","$59,995"
2022 BMW X2 xDrive28i,"10,120 mi.",MAG Midwestern Auto Group,3.1,72 ,"$38,450"
2022 Toyota Camry XSE,"30,986 mi.",Sunshine Toyota,4.9,"1,725 ","$37,984"
2020 Kia K900 Luxury,"24,259 mi.",Andy Mohr Kia,4.8,953 ,"$41,900"
2022 Volkswagen Atlas 3.6 V6 SEL R-Line,"6,386 mi.",Hall Volkswagen Mazda,4.7,604 ,"$48,991"
2020 INFINITI QX50 Luxe,"18,281 mi.",Lake Norman INFINITI,4.2,224 ,"$34,900"
2022 Volvo XC90 T6 Inscription 6 Passenger,"1,120 mi.",Friendship Hyundai of Bristol,2.5,168 ,"$62,831"
2019 Chevrolet Silverado 2500 LTZ,"15,505 mi.",Dennis Dillon GMC & Fiat,3.9,230 ,"$62,998"
2021 BMW 840 Gran Coupe i,"13,227 mi.",Fields BMW of Daytona,4.8,"1,242 ","$82,871"
2021 GMC Sierra 2500 Denali,"33,683 mi.",Cavender Buick GMC North,4.3,142 ,"$74,500"
2021 GMC Sierra 2500 AT4,"8,479 mi.",Sullivan Buick GMC Truck,2.8,58 ,"$79,911"
2022 Ford Expedition Limited,"10,020 mi.",Mullinax Ford of Mobile,4.8,"1,192 ","$64,790"
2022 INFINITI QX55 ESSENTIAL,"9,099 mi.",Fox Ann Arbor,4.5,284 ,"$48,573"
2019 BMW 740 i xDrive,"42,454 mi.",Sharpe BMW,4.4,294 ,"$44,550"
2022 Nissan Maxima SR,"14,103 mi.",Boch Nissan,3.1,915 ,"$35,497"
2021 Porsche 718 Cayman GTS 4.0,"7,204 mi.",Porsche St. Louis,4.9,336 ,"$109,759"
2023 BMW M440 i xDrive,628 mi.,BMW of San Antonio,4.1,959 ,"$69,962"
2022 Jeep Grand Cherokee L Altitude,"11,526 mi.",Faulkner Chrysler Dodge Jeep Ram Fiat,2.3,487 ,"$43,500"
2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line,"15,868 mi.",Driver's Village,2.7,158 ,"$41,994"
2019 Toyota Highlander Hybrid Limited,"67,830 mi.",Al Hendrickson Toyota,4.4,"8,088 ","$38,935"
2023 Honda Odyssey Touring,800 mi.,Coggin Honda of St. Augustine,4.8,"1,266 ","$46,500"
2021 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,"25,581 mi.",Astorg Auto of Charleston,4.8,597 ,"$66,995"
2021 Honda Passport EX-L,"6,457 mi.",Sunset Honda,4.7,301 ,"$37,900"
2022 Cadillac CT4-V V-Series,"4,346 mi.",Cadillac of Birmingham,n/a,0 ,"$51,600"
2020 Nissan Titan SV,"31,643 mi.",Lupient KIA Nissan,4.9,"2,830 ","$36,695"
2022 Volkswagen Taos 1.5T SEL,"9,006 mi.","Autohaus Lancaster, Inc.",5.0,403 ,"$34,990"
2022 Toyota Highlander Hybrid XLE,"7,023 mi.",Handy Toyota Inc,4.8,"4,335 ","$51,989"
2022 Jeep Grand Cherokee L Altitude,"11,526 mi.",Faulkner Chrysler Dodge Jeep Ram Fiat,2.3,487 ,"$43,500"
2022 Nissan Maxima SR,"14,103 mi.",Boch Nissan,3.1,915 ,"$35,497"
2021 Ford Mustang Mach-E Premium,"23,603 mi.",Yark Ford,4.6,"1,269 ","$55,513"
2019 Ford Transit-350 XLT,"73,657 mi.",Ford Crestview,3.9,383 ,"$43,999"
2019 BMW M550 i xDrive,"34,710 mi.",Sewell BMW MINI of Plano,4.6,"1,068 ","$60,777"
2020 Toyota Corolla Hatchback SE,"30,189 mi.",Ira Toyota of Manchester,4.1,"2,013 ","$23,988"
2020 Chevrolet Traverse RS,"57,709 mi.",Bill Cramer Chevrolet Buick GMC,3.1,525 ,"$36,585"
2022 Toyota Highlander XLE,"15,238 mi.",Findlay Toyota,4.6,915 ,"$41,988"
2022 Toyota C-HR Limited,"1,721 mi.",Toyota of Tampa Bay on Fletcher,4.7,"3,394 ","$30,024"
2022 Ford Explorer Timberline,"9,964 mi.",Preston Ford Lincoln Hyundai Nissan,4.5,562 ,"$44,700"
2019 Honda Pilot EX-L,"24,175 mi.",Underriner Honda,4.0,45 ,"$35,985"
2021 Toyota 4Runner SR5 Premium,"42,491 mi.",AutoNation Toyota Corpus Christi,4.6,"1,445 ","$37,984"
2020 BMW 430 Gran Coupe i xDrive,"29,359 mi.",BMW of Barrington,4.9,"1,269 ","$38,994"
2021 Ford Edge SE,"10,928 mi.",Mike Castrucci Ford,4.3,510 ,"$33,450"
2018 Cadillac ATS-V Base,"37,521 mi.",Trinity Cadillac,4.5,332 ,"$45,900"
2020 Chevrolet Suburban Premier,"49,500 mi.",Chase Chevrolet,4.6,149 ,"$54,988"
2020 BMW X4 M40i,"26,347 mi.",BMW of Las Vegas,4.7,"1,795 ","$51,995"
2020 Toyota Corolla Hatchback SE,"5,911 mi.",Metro Toyota,4.8,"6,285 ","$24,500"
2020 BMW 840 Gran Coupe i,"11,982 mi.",Richmond BMW Midlothian,4.1,439 ,"$69,250"
2022 Jeep Grand Cherokee WK Laredo,"7,738 mi.",Krystal Chrysler Jeep Dodge RAM FIAT,4.9,"1,474 ","$43,451"
2022 Toyota Venza XLE,"13,540 mi.",Peterson Auto Group,4.7,"4,196 ","$44,995"
2021 Ferrari Roma Coupe,737 mi.,Ferrari Of Houston,n/a,24 ,"$309,995"
2022 BMW X7 M50i,"17,772 mi.",i.g. Burton Imports,n/a,27 ,"$98,887"
2022 BMW 840 Gran Coupe i,"23,760 mi.",BMW of Palm Springs,4.8,600 ,"$69,988"
2020 Buick Encore Preferred,"43,640 mi.",Vaughn Automotive,2.7,131 ,"$21,230"
2021 Cadillac CT5 Sport,"14,728 mi.",Camargo Cadillac,n/a,31 ,"$42,988"
2020 Maserati Ghibli S Q4,"10,015 mi.",Maserati Alfa Romeo of Wilmington Pike,3.4,89 ,"$51,587"
2021 Porsche Taycan 4S,"11,941 mi.",Porsche Jacksonville,5.0,283 ,"$114,990"
2021 Jeep Gladiator Mojave,"27,176 mi.",Tyler Automotive's Chrysler Superstore - Chrysler Jeep Dodge RAM,n/a,152 ,"$50,000"
2022 Ford Explorer King Ranch,"4,593 mi.",Bayer Ford,n/a,65 ,"$59,990"
2019 Buick LaCrosse Essence,"46,143 mi.",Scott Chevrolet Cadillac,4.8,526 ,"$24,995"
2018 Porsche Macan S,"42,361 mi.",Porsche Redwood City,4.9,145 ,"$49,988"
2022 INFINITI QX60 Pure,"12,692 mi.",Orange Coast INFINITI,4.7,"2,827 ","$47,900"
2020 Volkswagen Golf GTI 2.0T S,"12,643 mi.",Hall Volkswagen Mazda,4.7,604 ,"$31,993"
2022 BMW 840 Gran Coupe i,"23,760 mi.",BMW of Palm Springs,4.8,600 ,"$69,988"
2020 Ford Expedition Max Limited,"35,300 mi.",Town & Country Ford,5.0,"1,266 ","$53,990"
2022 BMW M440 Gran Coupe i xDrive,"11,310 mi.",Bill Jacobs BMW,4.9,"3,543 ","$51,977"
2019 Buick LaCrosse Essence,"46,143 mi.",Scott Chevrolet Cadillac,4.8,526 ,"$24,995"
2021 GMC Sierra 3500 AT4,"26,916 mi.","Ewald Chevrolet Buick, LLC",4.7,441 ,"$71,000"
2020 Acura ILX Base,"35,986 mi.",Lindsay Acura,3.4,283 ,"$24,722"
2023 Cadillac XT4 Luxury,"1,221 mi.",Jim Ellis Cadillac,4.4,194 ,"$39,000"
2022 Ford Explorer King Ranch,"4,186 mi.",Gary Crossley Ford,4.1,"1,039 ","$57,000"
2019 MINI Hardtop Cooper,"29,927 mi.",Momentum BMW,4.8,"2,027 ","$21,999"
2022 Jeep Grand Wagoneer Series II,"8,551 mi.",Don Davis CDJR - Arlington,4.6,"7,274 ","$89,998"
2020 Toyota Avalon Hybrid Limited,"24,734 mi.",Maplewood Toyota,4.9,"4,096 ","$43,977"
2020 Cadillac CT5 Sport AWD,"14,682 mi.",Classic Cadillac Mentor,5.0,297 ,"$42,990"
2016 Honda Civic EX-L,"55,305 mi.",Team Honda of Acadiana,n/a,2 ,"$19,988"
2023 BMW 840 Gran Coupe i xDrive,"2,476 mi.",BMW of Nashville,2.5,442 ,"$86,999"
2019 BMW X4 xDrive30i,"29,721 mi.",DeFOUW Automotive,4.8,655 ,"$43,268"
2023 MINI Countryman John Cooper Works,775 mi.,Braman Motors Miami,4.6,"2,697 ","$47,405"
2021 Honda Odyssey EX-L,"18,903 mi.",Bend Honda,4.8,720 ,"$38,996"
2019 Cadillac XTS Luxury,"51,799 mi.",Cadillac of Las Vegas,n/a,299 ,"$28,996"
2022 Chrysler Pacifica Limited,"18,499 mi.",Hebert's Town & Country Chrysler Dodge Jeep RAM,4.8,"1,791 ","$47,250"
2019 MINI Hardtop Cooper,"29,927 mi.",Momentum BMW,4.8,"2,027 ","$21,999"
2020 Acura ILX Base,"35,986 mi.",Lindsay Acura,3.4,283 ,"$24,722"
2014 Aston Martin V8 Vantage Base,"23,222 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,n/a,8 ,"$77,888"
2020 Subaru Legacy ,"51,121 mi.",Matthews Import Center,n/a,309 ,"$29,490"
2022 Nissan Frontier SV,"6,752 mi.",McCarthy Olathe Nissan,4.4,222 ,"$35,000"
2019 Cadillac XT5 Premium Luxury,"38,802 mi.",Romain Cross Pointe Auto Park,4.6,242 ,"$32,995"
2021 Toyota C-HR XLE,"14,140 mi.",Checkered Flag Toyota,4.4,"2,570 ","$24,995"
2022 Toyota Highlander LE,528 mi.,Findlay Toyota,4.6,915 ,"$40,988"
2021 INFINITI Q60 3.0t Red Sport 400,"25,655 mi.",Infiniti of Memphis,4.3,258 ,"$49,999"
2022 Kia K5 GT-Line,"7,138 mi.",Daytona Kia,4.3,"3,176 ","$36,995"
2017 Ford F-250 Lariat,"78,291 mi.",Gene Messer Ford of Lubbock,4.2,777 ,"$48,280"
2020 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"11,736 mi.",Nalley Volkswagen,4.6,349 ,"$34,980"
2022 INFINITI QX55 SENSORY,"16,448 mi.",INFINITI of Hoffman Estates,4.7,"2,033 ","$50,200"
2019 Volvo XC40 T5 Momentum,"33,257 mi.",Portland Volvo Cars,4.7,528 ,"$34,990"
2020 BMW 530e iPerformance,"18,555 mi.",BMW of Las Vegas,4.7,"1,795 ","$44,952"
2022 Dodge Durango GT,"3,944 mi.",Desert 215 Superstore,n/a,n/a,"$46,990"
2022 GMC Sierra 1500 Limited Elevation,"3,609 mi.",Rick Hendrick Chevrolet Buick GMC,4.7,490 ,"$53,432"
2019 INFINITI Q70L 3.7 LUXE,"37,021 mi.",Infiniti of Clearwater,3.6,279 ,"$34,603"
2021 RAM 1500 Longhorn,"39,274 mi.","Bill Bryan Chrysler, Dodge, Jeep, RAM",4.0,"1,525 ","$54,995"
2019 Toyota Tacoma TRD Off Road,"49,603 mi.",Zeigler Toyota of Racine,3.6,"1,205 ","$34,490"
2021 Porsche Taycan 4S,"5,996 mi.",Porsche Fremont,4.9,496 ,"$123,782"
2021 Volvo XC40 T5 Inscription,"20,155 mi.",AutoNation Volvo Cars San Jose,4.5,475 ,"$40,473"
2021 INFINITI QX80 PREMIUM SELECT,"18,900 mi.",INFINITI of Kansas City,4.8,579 ,"$65,000"
